Study ID,Year of Publication,Title of Study,Country / Geographic Context,Source / Venue,Primary DL Architecture,Dataset Name(s),Modality/ies in Dataset,Real-Time Capability Claimed?,Inference Speed / Latency Reported?,Clear Research Objective,Appropriate Methodology,Reproducibility,Dataset Adequately Described,Appropriate Evaluation Metrics,Comparison to Baselines / SOTA,XAI Sufficiently Evaluated,Limitations Explicitly Acknowledged
Hayashi 2024,2024,"Modeling Synchronization for Detecting Collaborative Learning Process Using a Pedagogical Conversational Agent: Investigation Using Recurrent Indicators of Gaze, Language, and Facial Expression",Japan,International Journal of Artificial Intelligence in Education,"Not applicable.

No deep learning model was developed.

Study focused on multimodal synchronization indicators.","No external dataset used.

Custom experimental multimodal dataset collected during collaborative learning sessions.","Gaze tracking
Audio / Speech
Text transcripts
Facial expressions
Emotional states (FaceReader output)",Yes,No,Yes,Yes,Partial,Partial,Yes,Partial,Not Reported,Yes
Liu 2021,2021,Facial expression recognition method with multi-label distribution learning for non-verbal behavior understanding in the classroom,China.,"Infrared Physics & Technology, Volume 112, Article 103594.",CDLLNet (Cauchy Distribution Label Learning Network),"Oulu-CASIA NIR Database
CK+ (Extended Cohn-Kanade Dataset)","Near Infrared (NIR) facial images
RGB facial images
Facial video sequences",Not Evaluated,No,Yes,Yes,Partial,Partial,Yes,Yes,Partial,Partial
Kumar 2022,2023,Multilayer Neural Network Based Speech Emotion Recognition for Smart Assistance,"India / Saudi Arabia (Author affiliations)
","Computers, Materials & Continua",CNN / RNN / LSTM / Bi-LSTM / GRU / CNN-LSTM / CNN-GRU / Transformer / ViT / Hybrid -> Other: ANN / MLP (Multilayer Perceptron),"RAVDESS, TIMIT Corpus, Emo-DB",Audio,Yes,Yes,Yes,Partial,Partial,Partial,Partial,Partial,No,Partial
Kratzwald 2018,2018,Deep learning for affective computing: Text-based emotion recognition in decision support.,"Switzerland, 
Japan.",Decision Support Systems (Preprint).,RNN / LSTM / BiLSTM.,"Alm (2008) Literary Tales
Election Tweets Dataset
ISEAR Dataset
SemEval-2007 Headlines Dataset
SemEval-2018 General Tweets Dataset
Facebook Posts Dataset",Text only,No,No,Yes,Yes,Partial,Yes,Yes,Yes,No,Yes
Sethi 2022,2022,PSU-CNN: Prediction of student understanding in the classroom through student facial images using convolutional neural network,India (Data collected from Shoolini University),Materials Today: Proceedings,CNN,Custom (Shoolini University Student Facial Dataset),Static image,Yes,No,Yes,Yes,Partial,Partial,Partial,Partial,No,Partial
Radharani 2026,2026,CSBAM-MobileNet: A lightweight attention-enhanced deep learning model for student attentiveness classification,"India (Authors affiliated with Vignan’s Foundation for Science, Technology and Research, Guntur, Andhra Pradesh)","Engineering Science and Technology, an International Journal",CNN / Hybrid (MobileNet + Attention),"Spontaneous Classroom Expressions Dataset (Custom), DAiSEE, RAF-DB, FER-2013

",Facial video / Static image,Yes,No,Yes,Yes,Partial,Yes,Partial,Yes,No,Partial
Al-Asadi 2024,2024,A robust semi-supervised deep learning approach for emotion recognition using EEG signals,Iran (authors' affiliation); dataset collected internationally (DEAP dataset),International Journal of Machine Learning and Cybernetics,CNN-based EEGNet,DEAP (Database for Emotion Analysis using Physiological Signals),EEG signals (32-channel physiological signals),No,No,Yes,Yes,Partial,Partial,Partial,Partial,No,Yes
Kumar 2025,2025,Advanced Optimal Cross-Modal Fusion Mechanism for Audio-Video Based Artificial Emotion Recognition,"India (Central University of Tamil Nadu)
",Informatica,"Hybrid (2D-CNN for Audio, 3D-CNN for Video)
",MU-MOSEI,Multimodal (Facial video / Audio),No,No,Yes,Yes,Partial,Partial,Yes,Partial,No,Yes
Arsirii 2023,2023,Pseudo-labeling of transfer learning convolutional neural network data for human facial emotion recognition,Ukraine (Based on author affiliations),Herald of Advanced Information Technology,CNN,"RAF-DB (Primary target), ImageNet (Pre-training), DISFA, CelebA, AffectNet (Mentioned as examples of flawed popular datasets)",Static image,Not Evaluated,No,Yes,Yes,Partial,Partial,Yes,Partial,Not Reported,Partial
Evangeline 2024,2024,Facial Emotion Recognition of Online Learners Using a Hybrid Deep Learning Model,India,International Journal of Intelligent Engineering and Systems,Hybrid InceptionV3,OLSFED (Online Learning Spontaneous Facial Expression Database),Facial Images,Yes,No,Yes,Yes,Partial,Partial,Partial,Partial,No,Partial
